id,company_name,industry,sub_industry,country,city,revenue_band,team_size,business_intent,products_services,MOQ,export_ready,profile_completeness,verified
1,Wells-Jackson,Technology,SaaS,China,Lake Christophertown,10-50 Cr,51-200,Seeking Distributor,visualize bleeding-edge relationships,100,Yes,91,No
2,Smith-Moore,Healthcare,Pharmaceuticals,UAE,Grossfort,50+ Cr,1-10,Partnership,visualize ubiquitous interfaces,500,Yes,67,No
3,Fleming-Hill,FMCG,Food Processing,USA,Port Anthonyfurt,<1 Cr,200+,Seeking Supplier,engage 24/7 synergies,100,No,80,Yes
4,Wiggins-Beck,Retail,Fashion,UK,South Jasmineborough,50+ Cr,1-10,Seeking Supplier,target bleeding-edge platforms,1000,Yes,65,No
5,Daniel-Bradford,FMCG,Beverages,India,Seantown,1-10 Cr,11-50,Export,synthesize extensible systems,1000,No,62,No
6,"Santiago, Armstrong and Vance",Healthcare,Medical Devices,UAE,Debbieland,50+ Cr,11-50,Export,re-contextualize real-time mindshare,500,No,54,No
7,Porter-Bolton,Retail,E-commerce,UK,Allenberg,10-50 Cr,1-10,Seeking Supplier,leverage wireless niches,100,Yes,77,Yes
8,Clark-Coleman,Retail,Fashion,USA,New Anthony,50+ Cr,1-10,Seeking Supplier,transition proactive paradigms,500,Yes,76,Yes
9,Matthews-Wolfe,Manufacturing,Automotive,UK,Lake Christine,10-50 Cr,51-200,Seeking Buyer,re-contextualize next-generation vortals,500,Yes,52,Yes
10,"Santiago, Chandler and Livingston",FMCG,Personal Care,Germany,Mitchellborough,50+ Cr,200+,Partnership,empower strategic experiences,100,Yes,90,Yes
11,Sanders PLC,Healthcare,Pharmaceuticals,UAE,South Sharonmouth,<1 Cr,51-200,Seeking Supplier,productize clicks-and-mortar e-business,100,No,61,No
12,Simpson and Sons,Technology,SaaS,Germany,Gutierrezview,50+ Cr,200+,Investment,maximize end-to-end solutions,1000,No,51,No
13,"Castillo, Foster and Robinson",Manufacturing,Electronics,UAE,New Derrick,50+ Cr,11-50,Partnership,scale revolutionary users,500,Yes,73,Yes
14,Delgado LLC,Manufacturing,Automotive,USA,Bryantshire,50+ Cr,200+,Export,deploy bricks-and-clicks users,500,No,64,Yes
15,"Barrera, Whitaker and Adkins",Manufacturing,Electronics,UAE,East Williamport,1-10 Cr,11-50,Seeking Distributor,orchestrate customized web-readiness,100,Yes,60,No
16,Rodriguez-Wilson,Manufacturing,Electronics,UAE,East Brandon,1-10 Cr,1-10,Seeking Supplier,empower strategic web services,1000,No,74,Yes
17,Wilson-Beasley,Manufacturing,Automotive,India,Port Michaelview,50+ Cr,200+,Seeking Buyer,scale front-end users,1000,Yes,59,Yes
